Study,D1,D2,D3,D4,D5,D6,Overall
Study 1,Moderate,Critical,Low,Low,Moderate,Moderate,Critical
Study 2,Moderate,No information,Moderate,Low,Low,Low,Moderate
Study 3,Moderate,Serious,Low,Serious,Low,Low,Serious
Study 4,Serious,Moderate,Low,Low,Moderate,Moderate,Serious
Study 5,Moderate,Critical,Low,Low,Moderate,Moderate,Critical
Study 6,Moderate,Moderate,Low,Moderate,Moderate,Serious,Serious
Study 7,Moderate,Serious,Low,Low,Serious,Moderate,Serious
Study 8,Moderate,Low,Serious,Moderate,Low,Serious,Serious
Study 9,Moderate,Serious,Low,Low,Low,Low,Serious
Study 10,Serious,Low,Low,Low,Serious,Moderate,Serious
