Study,D1,D2,D3,D4,D5,D6,D7,Overall,Weight
Study 1,Critical,Low,Critical,Critical,Low,Low,Serious,Critical,33.33333333
Study 2,Moderate,Low,Low,Critical,Low,Moderate,Low,Low,33.33333333
Study 3,Moderate,Low,Moderate,Critical,Critical,Low,Serious,Serious,0.142857143
Study 4,NI,Low,Serious,Critical,Moderate,Low,Critical,Low,9.090909091
Study 5,Serious,Serious,Low,Low,Moderate,Low,Moderate,Serious,12.5
Study 6,Critical,Serious,Moderate,Critical,Critical,Moderate,Serious,Serious,25
Study 7,Critical,Moderate,Moderate,Serious,Critical,Serious,Serious,Moderate,200
Study 8,Critical,Moderate,Low,Low,Low,Low,Critical,Moderate,11.11111111
Study 9,Critical,Low,Serious,Low,Low,Serious,Low,Low,1.111111111
Study 10,Moderate,Low,Critical,Serious,Moderate,Moderate,Serious,Low,0.142857143
Study 11,Moderate,Serious,Moderate,Critical,Serious,Low,Critical,Serious,9.090909091
Study 12,Critical,Critical,Low,Critical,Critical,Critical,Critical,Critical,12.5
